QUESTION_TYPE,NLQ,GOLD_ANS,GENERATED_ANS,category,EVAL_REASON
reasoning,Is Sunita Sen responsible for the use of original annotator codes data for the task of bar chart breakdown?,FALSE,Not available,missed (said not-available),"The gold answer is FALSE, but the system answer is 'Not available', which does not state that the claim is false and therefore does not provide the correct information."
not available,What is the affiliation of Dr Liu mentioned in the synthesis meeting minutes?,Not available,Dr. Liu is affiliated with Stanford.,FABRICATED (gold = not available),"The gold answer indicates that the affiliation is not available, but the system provides a specific affiliation (Stanford), which is unsupported and likely incorrect given the gold. Therefore, the system answer does not satisfy the question compared to the gold answer."
reasoning,Does Prof. Ramesh Bhatia work with color palette for visualizations?,FALSE,"Yes. Prof. Ramesh Bhatia reviews and provides feedback on color palette and color-coding for visualizations, especially in the context of workflow diagrams and figure legends, as seen in his suggestions for improving color contrast, legend clarity, and the use of color-coded highlights for compliance and data points (see, e.g., emails dated 17 October 2023, 19 November 2024, and 18 October 2024).",wrong TRUE/FALSE,"The Gold Answer says the correct response is FALSE, but the system answer explicitly says ""Yes"" and describes Prof. Bhatia working with color palettes. This directly contradicts the Gold Answer, so it is not correct or useful."
multi-hop,Which conferences are the visualizations being prepared for in the context of the email?,"ACL, EMNLP","JCDL 2022, ACL 2024",wrong value / hallucination,"The system answer lists different conferences (JCDL 2022, ACL 2024) than the gold answer (ACL, EMNLP), so it does not correctly satisfy the user’s question."
not available,What are the specific datasets used for the visualizations mentioned in the email?,Not available,"The specific datasets used for the visualizations mentioned in the email are:

- NDLI (National Digital Library of India) corpus
- Europeana sub-corpora
- Indian Newspapers corpus
- British Colonial Proceedings
- US Immigration Letters
- National Library of Israel (NLI) YIVO collection
- Chilean National Library (BNCh) datasets
- 19th-century Bengali literature subset
- Bengal Gazette
- Madras Chronicle

These datasets are referenced in the context of annotation, compliance, and evaluation visualizations throughout the email thread.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer fabricates a detailed list of specific datasets. Since these details are not supported and contradict the gold answer, the system answer is not correct or useful."
reasoning,Did Sunita Sen contribute to the selection of exemplar explanatory segments?,FALSE,Yes.,wrong TRUE/FALSE,"The gold answer indicates the correct response is FALSE, meaning Sunita Sen did not contribute. The system answered 'Yes', which directly contradicts the gold answer. Therefore, it is not correct or useful."
not available,Which datasets were used for the Faithfulness/Clarity Heatmaps?,Not available,The Faithfulness/Clarity Heatmaps were generated using Documents C and F from the project’s historical corpus.,FABRICATED (gold = not available),"The gold answer indicates that the information is not available, while the system answer fabricates specific datasets (Documents C and F). Therefore, it does not provide correct information and is not useful."
not available,What is the title of the paper related to these visualization drafts?,Not available,Annotation Strategies and Workflow Transparency for 19th-Century Bengali-English Historical Texts,FABRICATED (gold = not available),"The gold answer indicates that the correct title is not available. The system answer provides a specific paper title that is not supported by the gold answer, so it cannot be considered correct or useful relative to the expected response."
not available,What dataset was used for the visualization figures discussed in the email?,Not available,"Bengali (12%), Urdu (9%), and minor entries in Oriya and Tamil, with detailed archival provenance; also includes datasets from the National Library of Israel (YIVO collection), National Diet Library of Japan, and Biblioteca Nacional de Chile.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, while the system answer fabricates specific datasets. Therefore, it does not correctly satisfy the user’s question."
multi-hop,Which person is suggested to have contributed to the NLP evaluation on noisy historical data through annotator disagreements?,Sunita Sen,Dr. Michael Bradley,wrong value / hallucination,"The system answer is incorrect because it names Dr. Michael Bradley, while the expected correct person is Sunita Sen."
not available,What is the title of the paper that includes the visualization assets discussed in the email?,Not available,"“Practical Workflows for NLP on International Historical Archival Data: Legal, Technical, and Community Lessons Learned”",FABRICATED (gold = not available),"The gold answer indicates the correct response is not available, so the system’s specific paper title cannot be verified as correct. Therefore, it does not satisfy the user’s question compared to the Gold Answer."
single-hop,Which task was Dr. Michael Bradley responsible for in the manuscript preparation?,Camera-ready manuscript preparation,"Dr. Michael Bradley was responsible for the evaluation metrics revision, including generating disaggregated benchmarking tables, drafting the new subsection addressing F1 score variance, preparing updated visualizations (such as per-language precision/recall bar charts and a timeline-based error distribution figure), and expanding the section on annotation metadata limitations. He also contributed the multi-author version management template, reviewer feedback handling protocols, and glossary for unified terminology.",wrong value / hallucination,"The system answer does not state that Dr. Michael Bradley was responsible for camera-ready manuscript preparation. It provides different responsibilities, so it does not match the Gold Answer."
single-hop,"What conference is the paper ""Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data"" intended for submission?",ACL 2019,ACL (with EMNLP as backup),"over-complete (extra, debatable)","The system answer is not fully correct because it introduces additional, incorrect information (EMNLP as backup) that is not in the gold answer. The gold answer specifies ACL 2019 as the intended conference, while the system omits the year and adds an extra conference, so it does not precisely match the expected answer."
reasoning,Is the manuscript draft ready for pre-submission administrative checks according to Sunita Sen?,FALSE,Yes.,wrong TRUE/FALSE,"The gold answer indicates the correct response is FALSE, meaning the manuscript is not ready. The system answered 'Yes', which contradicts the gold answer, so it is not correct or useful."
multi-hop,What datasets are evaluated by the metrics that Sunita Sen works with?,"annotated corpora
NER annotation set
topical annotation set
first dataset summaries","The datasets evaluated by the metrics that Sunita Sen works with include:

- Indian Newspapers corpus
- British Colonial Proceedings
- US Immigration Letters
- 19th-century Bengali literature subset
- Bengal Gazette (supplementary dataset, with embargoed segments)
- Madras Chronicle (supplementary dataset, with embargoed segments)
- NDLI (National Digital Library of India) datasets
- Datasets from Indian regional archives (including West Bengal State Archives)
- UK/EU datasets (referenced for cross-regional comparison)
- National Library of Israel (NLI) YIVO collection (as an additional cross-border use case)
- Japanese (National Diet Library) and Chilean (Biblioteca Nacional de Chile) historical corpora (for comparative legal and annotation workflow analysis)

These datasets are referenced in the context of annotation reliability, cross-border compliance, and benchmarking in Sunita Sen’s methodological and evaluation work.",wrong value / hallucination,"The gold answer specifies particular types of datasets/annotation sets: annotated corpora, NER annotation set, topical annotation set, and first dataset summaries. The system answer instead lists a variety of specific corpora and archives that are not mentioned in the gold answer and does not identify the required annotation sets or dataset types. Therefore, it does not provide the correct information needed to satisfy the user’s question."
multi-hop,What is the target conference for the paper being prepared by Dr. Ananya Chatterjee and her team?,ACL 2019,ACL 2024,wrong value / hallucination,"The system answer gives a different conference year (ACL 2024) than the correct one (ACL 2019), so it does not provide the correct information."
reasoning,Is there a plan to submit the paper before June 2019?,TRUE,No.,wrong TRUE/FALSE,"The gold answer indicates the correct response is TRUE (there is a plan to submit the paper before June 2019), while the system answered 'No', which contradicts the gold answer. Therefore, it is not correct or useful."
reasoning,Did Ananya Chatterjee submit any papers to conferences in 2019?,TRUE,Not available.,missed (said not-available),"The gold answer indicates that the correct response is TRUE, but the system answer says 'Not available,' which does not provide the correct information or confirm that Ananya Chatterjee submitted papers in 2019."
multi-hop,What is the title of the paper submitted to ACL 2019 by the team including Dr. Michael Bradley and Dr. Ananya Chatterjee?,Not available,Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,FABRICATED (gold = not available),"The gold answer indicates that the correct title is not available, while the system provides a specific paper title without supporting evidence. Therefore, it cannot be confirmed as correct and does not match the gold answer."
not available,What dataset is planned to be released in conjunction with the ACL 2019 paper?,Not available,"The dataset planned for release in conjunction with the ACL 2019 paper is an annotated historical corpus from South Asian colonial newspapers, specifically including the “Bengal Gazette” and “Madras Chronicle” collections.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system invents a specific dataset. This is incorrect and not aligned with the gold answer, so it is not useful."
multi-hop,Which conferences were mentioned in the email thread involving Sunita Sen?,ACL 2019,"ACL, JCDL, EMNLP","over-complete (extra, debatable)","The gold answer specifies only ACL 2019. The system answer adds extra conferences (JCDL, EMNLP) that were not in the gold answer, so it is not correct as given."
not available,What are the specific datasets planned for phased release discussed in the meeting?,Not available,"The specific datasets planned for phased (rolling embargo) release discussed in the meeting are:
- Part II of the “Bengal Gazette”
- Part III of the “Madras Chronicle”",FABRICATED (gold = not available),"The gold answer indicates that the specific datasets are not available, but the system answer invents specific datasets. Therefore, it does not provide correct information relative to the gold answer."
reasoning,Is the meeting scheduled for 2nd June going to be attended by Sunita Sen?,TRUE,Not available.,missed (said not-available),"The gold answer indicates the correct answer is TRUE, but the system answer says 'Not available' and does not provide the correct information."
multi-hop,Which journal is targeted for the extended version of the paper after ACL feedback?,JOCCH,"ACM Journal on Computing and Cultural Heritage (JOCCH), Journal of Documentation (JDoc)","over-complete (extra, debatable)","The correct target journal is JOCCH only. The system answer adds an extra journal (Journal of Documentation) that is not mentioned in the gold answer, making it incorrect for this specific question."
not available,What is the title of the paper that will include the dataset documentation template?,Not available,Meta-Annotated Historical Texts: A Multi-Institutional Resource and Legal Protocol for South Asian Colonial Newspapers,FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system provides a specific paper title. This is not supported by the gold answer and therefore is incorrect."
reasoning,Has the preliminary checklist for dataset compliance been uploaded by 10 June?,Not available from the email context.,Yes.,wrong value / hallucination,"The gold answer says the information is not available, while the system answer asserts 'Yes.' This is incorrect and not supported by the given context, so it does not satisfy the user's question."
single-hop,What are the OCR error cases mentioned in the dataset documentation?,"annotated corpus (late-19th-century Bengali and English periodicals segment),summary statistics and selected representative OCR error cases extraction","The OCR error cases mentioned in the dataset documentation include:

- Substitution errors (e.g., misrecognition of similar-looking characters or glyphs, such as “c” for “e” or “rn” for “m”)
- Insertion errors (extra characters or symbols introduced by the OCR engine)
- Deletion errors (omission of characters, especially in ligature-rich scripts)
- Segmentation errors (incorrect splitting or merging of words, lines, or columns, often due to irregular historical layouts)
- Script misclassification (e.g., confusion between Bengali and English scripts in mixed-script documents)
- Boundary errors (incorrect annotation of entity or word boundaries due to OCR misalignment)
- Tokenization errors (erroneous splitting or joining of tokens, especially at line breaks or hyphenated words)
- Contextual misrecognition (OCR errors exacerbated by historical spelling variants or archaic typefaces)
- Ambiguous glyphs (characters that are visually similar in historical fonts, leading to systematic misrecognition, such as “ſ” (long s) for “f” or “i” for “l”)
- Noise from marginalia, stamps, or bleed-through (non-textual artifacts misrecognized as text)

These cases are documented in the “summary statistics and illustrative cases” section, with examples and confusion matrices provided for each error type.","over-complete (extra, debatable)","The gold answer only mentions that the documentation includes summary statistics and selected representative OCR error cases extraction, without specifying any particular error types. The system answer invents a detailed taxonomy of error types and specific documentation sections that are not supported by the gold answer. Therefore it does not correctly match the information required by the user in context of the gold answer."
multi-hop,What dataset is being used for the OCR error cases in the project led by Sunita Sen?,annotated corpus (late-19th-century Bengali and English periodicals segment),The “Chronicling America” and “British Library Digital Collections” datasets are being used for the OCR error cases in the project led by Sunita Sen.,wrong value / hallucination,"The system answer is incorrect. The correct dataset is the annotated corpus of late-19th-century Bengali and English periodicals, not the “Chronicling America” and “British Library Digital Collections” datasets."
single-hop,What is the title of Sunita Sen's paper submitted under ID SUB-JOCCH-2019-0187?,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,wrong value / hallucination,"The system answer gives a different paper title than the gold answer. The correct title is 'Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,' but the system answered 'A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,' so it does not satisfy the user’s question."
multi-hop,Which datasets were reviewed by Dr. Ananya Chatterjee for the JOCCH expectations?,Not available,"National Library of Israel (NLI) YIVO collection, Japanese National Diet Library (NDL) datasets, Chilean National Library (BNCh) datasets, Indian and UK/EU datasets.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer provides specific dataset names. Since this conflicts with the gold answer and cannot be verified as correct, it is not considered correct or useful."
not available,What is the submission status of the paper prepared for the internal review meeting on 16 June?,Not available,"The paper prepared for the internal review meeting on 16 June was successfully submitted as a camera-ready manuscript to JCDL 2023. The submission ID is SUB-JCDL-2023-0147, and the submission has passed technical and compliance checks, been officially acknowledged, and is queued for inclusion in the conference proceedings.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer fabricates a detailed submission status. Therefore, it does not provide the correct information and is not useful."
multi-hop,What dataset is Sunita Sen working on for the internal review meeting?,annotated historical OCR error corpus,"19th-century Bengali-English historical texts (specifically, the annotated historical corpus including Bengali, Urdu, Oriya, and Tamil subcorpora, with detailed archival provenance and annotation logs)",wrong value / hallucination,"The system answer does not mention the key detail that it is an OCR error corpus. It instead describes 19th-century Bengali-English historical texts and multiple subcorpora, which is different from the specific “annotated historical OCR error corpus” in the gold answer."
not available,Has the dataset been prepared for submission to a journal?,Not available,Yes.,FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer asserts 'Yes', which is incorrect and not supported by the gold answer."
multi-hop,What statuses has the paper 'Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives' passed through?,"Received, Initial checks complete, Under review, Minor Revision Required, Resubmitted, Under review, Accepted with minor revisions, Minor Revision Required, Resubmitted, Accepted pending camera-ready, Camera-ready submitted, Camera-ready received","The paper ""Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives"" has passed through the following statuses:

1. **Initial Submission to JOCCH** – The manuscript was submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) and received an acknowledgment of receipt and initial technical check (see emails dated 10th June 2019, 25th June 2019, and 3rd August 2019).

2. **First-Round Peer Review – Minor Revision Required** – After peer review, the paper received a decision of ""Minor Revision Required"" with specific revision requests (see email dated 3rd August 2019).

3. **Revision and Resubmission** – The authors revised the manuscript, addressed reviewer comments, and resubmitted the paper (see emails from 4th August 2019 to 15th August 2019).

4. **Second Editorial Check and Peer Review** – The revised manuscript passed editorial checks and was sent for a second round of peer review (see email dated 16th September 2019).

5. **Acceptance Pending Minor Revisions** – The paper was accepted pending minor revisions, with requests for small clarifications and formatting adjustments (see email dated 3rd November 2019).

6. **Final Camera-Ready Submission** – The authors submitted the final, camera-ready version after addressing all minor revisions (see emails from 4th November 2019 to 18th November 2019).

7. **Final Acceptance and Publication Scheduling** – The camera-ready version was accepted, and the paper was scheduled for publication in JOCCH (see emails dated 1st December 2019, 4th January 2020, and 18th January 2020).

In summary, the paper progressed through initial submission, minor revision, resubmission, further review, acceptance pending minor revisions, camera-ready submission, and final acceptance for publication.",partial (missing items),"The system answer paraphrases the process but does not list the exact sequence of formal statuses provided in the Gold Answer (e.g., it omits explicit statuses like 'Received', 'Initial checks complete', 'Under review', and the repeated cycles of 'Minor Revision Required', 'Resubmitted', etc.). Therefore it does not correctly match the required status list."
single-hop,What was the agenda of the meeting held on 6th April 2019?,"datasets for sentiment analysis (Chronicling America and British Library Digital Collections), temporal embedding methods and historical lexicons, evaluation metrics (accuracy, F1-score, temporal consistency score), and timeline for next steps","The agenda of the meeting held on 6th April 2019 was as follows:

1. Sunita's briefing on dataset harmonization progress and immediate needs
2. Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)
3. Ananya's preliminary feedback on interpretability review and metadata system memo
4. Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps
5. Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)",wrong value / hallucination,"The system answer lists a different agenda (briefings, demonstrations, discussions on metadata, and scheduling) that does not mention the specific items in the Gold Answer (datasets for sentiment analysis, temporal embedding methods, evaluation metrics, and timeline for next steps). Therefore, it does not provide the correct information."
single-hop,Which email first mentioned the Chronicling America dataset?,YT6A21,"The first email to mention the Chronicling America dataset is the one from Sunita Sen to Prof. Ramesh Bhatia on 01-04-2019, with the subject ""Proposal for Research on Temporal Sentiment Analysis in Historical Archives.""",wrong value / hallucination,"The system answer does not match the expected gold answer identifier 'YT6A21'. It instead gives a descriptive email (sender, recipient, subject, date) and no ID, so it does not provide the correct information."
multi-hop,Which papers were under review in 2019?,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,"The following papers were under review in 2019:

1. ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471) – submitted to ACL 2021, with camera-ready and acceptance notifications referencing 2019 dates for session scheduling and program details.

2. ""Cross-Lingual NLP Pipelines for Historical Document Archives: A Data-driven & Inclusive Approach"" (Submission ID: SUB-JCDL-2022-1189) – submitted to JCDL 2022, with submission and review notifications referencing 2019 dates.

These papers were in the review process at ACL and JCDL during 2019, as indicated by the submission and notification dates in the correspondence.",wrong value / hallucination,"The gold answer lists a specific paper title, while the system answer lists completely different papers and does not mention the correct one. Therefore, it does not satisfy the user’s question compared to the gold answer."
multi-hop,Which researchers are working with methods for interpretability?,"Prof. Ramesh Bhatia, Dr. Ananya Chatterjee","Dr. Ananya Chatterjee, Dr. Michael Bradley, and Sunita Sen are all actively engaged in methods for interpretability, particularly in the context of historical NLP. Evidence for this includes:

- Ananya led the review and integration of interpretability analyses (e.g., LIME, SHAP) in the context of diachronic text data and contributed to the design and evaluation of interpretability protocols (see emails in threads discussing interpretability memos, technical note outlines, and compliance/annotation workflow documentation).
- Michael contributed to the technical development and evaluation of interpretability tools, including the integration of model-agnostic methods (LIME, SHAP) and the creation of annotated case studies and error analysis visualizations for interpretability (see threads on technical documentation, error analysis, and workflow diagrams).
- Sunita coordinated the integration of interpretability-focused evaluation (including human annotation and Q&A protocols) and led the synthesis of interpretability findings in both manuscripts and outreach materials (see threads on annotation protocols, Q&A handouts, and lessons learned memos).

All three have contributed to interpretability-focused sections in manuscripts, technical notes, and public-facing resources.","over-complete (extra, debatable)","The user asked which researchers are working with methods for interpretability. The gold answer lists two specific names: Prof. Ramesh Bhatia and Dr. Ananya Chatterjee. The system answer only correctly includes Dr. Ananya Chatterjee, but it omits Prof. Ramesh Bhatia and instead adds two incorrect names (Dr. Michael Bradley and Sunita Sen). Therefore the system answer does not match the gold answer and is not correct overall."
multi-hop,Which method does Dr. Michael Bradley use alongside Transformer models?,"temporal embeddings, alignment methods",Dr. Michael Bradley uses error analysis and benchmarking with disaggregated results (including per-language precision/recall/F1 charts and timeline-based error distribution figures) alongside Transformer models. He also integrates traditional evaluation metrics and annotation reliability analysis (such as inter-annotator agreement statistics) in his workflow.,wrong value / hallucination,"The system answer does not mention the correct methods (temporal embeddings and alignment methods). Instead, it describes evaluation techniques like error analysis and benchmarking, which do not match the Gold Answer."
multi-hop,Which metrics are used to evaluate the LIME method?,"explanation consistency scores, faithfulness indices, stability of explanations, quality of explanations",The metrics used to evaluate the LIME method are explanation consistency scores and faithfulness indices.,partial (missing items),"The system answer only mentions explanation consistency scores and faithfulness indices, but omits stability of explanations and quality of explanations, which are also required by the Gold Answer. Therefore it is incomplete and not fully correct."
multi-hop,Which metrics evaluate the methods for interpretability?,"Likert-scale responses, trust in model explanations, willingness to use scores","The metrics used to evaluate the methods for interpretability in this project include:

- Explanation consistency scores
- Faithfulness indices
- Qualitative comparative vignettes
- Usability and faithfulness metrics (including human annotation pilot ratings for clarity, faithfulness, and trustworthiness)
- Explanation “usability” from a historian’s perspective
- Quantitative versus qualitative comparison protocols for model explanations
- Diagnostic metrics for post-hoc model explanations (e.g., LIME, SHAP outputs)
- Explanation clarity and actionability ratings from expert annotators

These metrics are discussed in the context of both model-agnostic interpretability tools (such as LIME and SHAP) and human expert evaluation, as well as in the design of the annotation pilot and the analysis of OCR/post-processing artifacts.",wrong value / hallucination,"The gold answer specifies concrete human-centered evaluation metrics: Likert-scale responses, trust in model explanations, and willingness to use scores. The system answer lists a variety of other interpretability-related metrics and concepts but does not mention these key metrics. Therefore it does not provide the same correct information as the gold answer."
single-hop,What is the final status of submission SUB-JOCCH-2021-0612?,Scheduled for publication,ACCEPTED for publication.,wrong value / hallucination,"The system answer is not correct. The gold answer indicates the status is 'Scheduled for publication,' which is more specific and different from simply 'ACCEPTED for publication.' Therefore, it does not fully satisfy the user’s question."
reasoning,Is the Chronicling America dataset used for OCR correction tasks?,FALSE,Yes.,wrong TRUE/FALSE,"The gold answer indicates the correct response is FALSE, but the system answered 'Yes,' which directly contradicts it. Therefore, the system answer is not correct or useful for the user’s question."
single-hop,What is the final status of the submission SUB-JOCCH-2019-0187?,Camera-ready received,"ACCEPTED (pending minor revisions, then accepted for publication)",wrong value / hallucination,"The system answer is incorrect. The gold answer states that the final status is 'Camera-ready received,' which indicates the final camera-ready version has already been submitted. The system answer instead says 'ACCEPTED (pending minor revisions, then accepted for publication),' which implies a different and earlier status. Therefore, it does not provide the same information as the gold answer."
single-hop,What is the current status of the submission SUB-JOCCH-2020-0047?,Conditionally accepted,The manuscript SUB-JOCCH-2020-0047 has been formally accepted for publication in the ACM Journal on Computing and Cultural Heritage and is proceeding to the production stage.,wrong value / hallucination,"The gold answer indicates the submission is conditionally accepted, while the system answer states it has been formally accepted and is proceeding to production. This is a different and incorrect status, so the system answer does not contain the correct information."
single-hop,What was the agenda of the meeting on 19th April 2019?,first progress check-in group call,"The agenda for the meeting on 19th April 2019 was as follows:

1. Sunita's briefing on dataset harmonization progress and immediate needs
2. Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)
3. Ananya's preliminary feedback on interpretability review and metadata system memo
4. Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps
5. Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)",wrong value / hallucination,"The gold answer states the agenda was simply a 'first progress check-in group call', while the system answer gives a detailed, specific multi-item agenda that does not match the gold answer. It does not correctly reflect the intended concise agenda description and is therefore not correct."
reasoning,Is Prof. Ramesh Bhatia affiliated with Stanford University?,FALSE,"No. Prof. Ramesh Bhatia is affiliated with the Department of Computer Science, Indian Association for the Cultivation of Science (IACS), not Stanford University.","over-complete (extra, debatable)","The system correctly states that Prof. Ramesh Bhatia is not affiliated with Stanford, matching the FALSE gold label, but it adds a specific affiliation (Department of Computer Science, IACS) that is not supported by the gold answer and may be fabricated. Therefore, it does not strictly match the gold-standard information."
single-hop,Which task is Sunita Sen working on related to semantic drift?,semantic drift studies,"Sunita Sen is working on preparing and sharing supplementary annotation logs and metadata, including normalization edge cases and inter-annotator commentaries, to support the extended analyses for the journal extension—specifically for sub-dialectal code-switching trends and longitudinal model adaptation related to semantic drift. She is also coordinating the benchmarking dataset visualizations and is involved in the error analysis and documentation of annotation protocols for historical corpora, which are central to the semantic drift detection work described in the team’s JCDL and journal submissions.",wrong value / hallucination,"The user only asked which task Sunita Sen is working on, and the gold answer is simply 'semantic drift studies.' The system answer provides detailed but different tasks (annotation logs, metadata, visualizations, etc.) and does not clearly or directly state that her task is 'semantic drift studies.' It does not correctly match the expected answer."
